region,avg_rank,std_rank,rank_multi
Western Norway,10.486,7.607789242737132,1
Trøndelag,10.679555555555556,8.194896749095003,2
Central Switzerland,12.182444444444444,11.306970680898177,3
Småland with Islands,12.191222222222223,10.944545519380734,4
Stockholm,12.761222222222223,12.140818506315174,5
Greater London,12.843,12.256179271110067,6
West Sweden,12.877222222222223,11.806084656229096,7
Budapest,13.003555555555556,12.382780245471878,8
Madrid,13.027777777777779,12.303723181576228,9
Prague,13.084,12.357036647436077,10
Luxembourg,13.255777777777778,12.487856973553543,11
Thuringia,13.316333333333333,12.524994009645663,12
Walloon Region,13.381,12.67194245008966,13
Drenthe,21.40088888888889,10.592606416215045,14
Agder and Sør-Østlandet,22.06,11.050197116674825,15
North Middle Sweden,24.263222222222222,15.26059672769514,16
Åland,24.32777777777778,14.753932560814514,17
Greater Reykjavík,24.338,14.541004263060016,18
Eastern and Northern Finland,24.369333333333334,14.534126801129732,19
Central Norrland,24.51311111111111,15.364195431768326,20
Zurich,24.988888888888887,16.153746838928793,21
Espace Mittelland,25.082,16.502106948082968,22
North Estonia,25.303,16.901559368258845,23
Upper Norrland,25.325777777777777,16.212490604493663,24
Ticino,25.337555555555557,16.530099651567305,25
Warsaw capital region,25.347555555555555,17.06607452462956,26
Northwestern Switzerland,25.359444444444446,16.339900685053216,27
Southern,28.895666666666667,13.428457984129667,28
Southern Finland,28.89688888888889,13.261398357535725,29
Corsica,29.045444444444446,13.67953679750736,30
Other regions,29.091444444444445,13.555988861246782,31
Central Jutland,32.830222222222226,12.962221169113658,32
Southern Denmark,33.97477777777778,14.643966221630393,33
Northern Norway,34.004,10.33477766050839,34
Northern Jutland,34.02177777777778,14.427111334401603,35
North Brabant,35.75655555555556,12.613963714439617,36
East Middle Sweden,36.12822222222222,18.573789828154606,37
Eastern Switzerland,36.760555555555555,19.668937338742094,38
Northern and Western,36.77477777777778,14.04586835642206,39
Saxony,39.37766666666667,18.94740766571531,40
Pomerania,41.211777777777776,18.832126806649693,41
Oslo and Viken,42.577888888888886,9.866321751819711,42
Zealand,45.35933333333333,17.045444041550134,43
Capital City Region,45.50966666666667,16.67895329277438,44
Innlandet,45.58722222222222,13.33204691306907,45
La Rioja,46.09988888888889,15.379299661655313,46
Castile and León,46.40511111111111,14.413715382232253,47
Utrecht,46.972,14.706843589327026,48
Gelderland,47.38933333333333,15.327675454820913,49
Brittany,49.99022222222222,15.838062394736069,50
Lake Geneva Region,52.59177777777778,22.644084206857137,51
Saarland,55.711333333333336,16.592003892749727,52
Navarra,55.724,14.834466164182162,53
Salzburg,56.16544444444445,15.179595490663202,54
South East England,56.50388888888889,15.433405521410979,55
Île-de-France,57.24666666666667,15.875902229030325,56
Limburg,57.89266666666666,15.223746357630361,57
Balearic Islands,57.95144444444445,19.154444433382206,58
Auvergne-Rhône-Alpes,58.120444444444445,13.926726471598567,59
Helsinki-Uusimaa,58.166111111111114,13.294248551466195,60
Zeeland,58.93344444444445,18.547420126126994,61
Flemish Region,60.443888888888885,16.227627333168353,62
Scotland,65.32011111111112,15.293893709123298,63
Western Transdanubia,66.09855555555555,14.951741391679152,64
Central Transdanubia,67.41266666666667,14.981803075076646,65
Nouvelle-Aquitaine,67.81866666666667,15.254554021006955,66
Basque Country,68.639,18.492539291441037,67
Brandenburg,69.07233333333333,18.57762405307194,68
Pays de la Loire,69.30666666666667,15.624580803355535,69
Western Finland,69.6631111111111,15.66989363381396,70
Flevoland,70.266,15.014484231851817,71
North Holland,70.624,14.98782561843213,72
Western Slovenia,71.19866666666667,17.493741150541776,73
Groningen,73.66388888888889,18.108181607371847,74
Rhineland-Palatinate,75.20255555555555,15.590755141244244,75
Galicia,75.84966666666666,17.120860319952964,76
Pest,80.61977777777778,17.81226842020796,77
South Sweden,81.40422222222222,18.265489827279858,78
Kaunas county,84.22944444444444,19.813911466189133,79
Molise,84.26833333333333,16.57125215344647,80
Vilnius county,84.31322222222222,19.711949527323384,81
Upper Austria,84.90144444444445,16.160709382635343,82
Cantabria,84.96355555555556,20.440634545930763,83
Northeast Estonia,85.487,19.999117879757613,84
Klaipeda county,85.63855555555556,19.529796705380885,85
Hesse,87.09344444444444,15.66396350074765,86
Bavaria,87.13588888888889,19.29585775357359,87
Extremadura,88.322,20.944947772771677,88
South Holland,89.27544444444445,15.454531934317476,89
Lower Austria,89.87488888888889,16.08757952619168,90
Southern Great Plain,90.73533333333333,17.917032815064534,91
Madeira (autonomous region),91.07355555555556,19.200115597629896,92
Province of Trento,91.42866666666667,18.54250381165647,93
Occitanie,92.66677777777778,20.688106256429958,94
Eastern and Midland,95.06522222222222,16.045034391723142,95
Southern Estonia,95.95655555555555,18.05719332027733,96
Asturias,96.27088888888889,18.65587668693718,97
Baden-Württemberg,99.0381111111111,19.002318618765624,98
Azores (autonomous region),101.46055555555556,19.80629048886891,99
East of England,102.09122222222223,16.134126759421907,100
Overijssel,102.79466666666667,16.151956983991486,101
La Réunion,103.19111111111111,20.685773936404104,102
North West England,104.53577777777778,17.290374446829247,103
Hauts-de-France,104.64944444444444,17.68363872906544,104
Berlin,105.80466666666666,15.641842997593809,105
Lower Silesia,107.30366666666667,20.40393044755443,106
Mecklenburg-Vorpommern,107.47977777777778,17.325717878523076,107
Lesser Poland,108.37633333333333,20.982099798298858,108
Normandy,108.50077777777778,19.516172426254705,109
Burgenland,108.92066666666666,18.713576634062715,110
Carinthia,112.31477777777778,16.760449964917616,111
North East England,112.66222222222223,18.724166648040118,112
Tyrol,113.99377777777778,16.553199287825585,113
South West England,114.88322222222222,17.69017055595765,114
Friesland,114.97288888888889,18.328748905371295,115
Podlaskie,119.63044444444445,19.003157568677427,116
Southwest,119.75733333333334,20.69860018898158,117
Provence-Alpes-Côte d’Azur,120.311,22.6277767535606,118
Northeast,120.41544444444445,21.94799754930487,119
North Rhine-Westphalia,121.42666666666666,20.028748090765607,120
Grand Est,121.55755555555555,15.582565052561677,121
Greater Poland,122.32066666666667,23.754126693025544,122
